work_year,job_role,job_category,experience_level,employment_type,work_setting,company_location,company_size,salary_in_usd
2022,Machine Learning Engineer,Analysis,Mid-Level,Contract,Remote,Germany,Large,136086
2020,Statistician,ML/AI,Executive,Freelance,Remote,India,Medium,67982
2022,Machine Learning Engineer,ML/AI,Mid-Level,Contract,Hybrid,China,Large,153309
2022,Data Analyst,ML/AI,Senior,Full-Time,Hybrid,Mexico,Large,135242
2020,Statistician,Data Science,Mid-Level,Full-Time,In-person,United Kingdom,Small,35156
2020,Machine Learning Engineer,Engineering,Mid-Level,Full-Time,Hybrid,Germany,Medium,68280
2022,Data Analyst,Data Science,Executive,Part-Time,Remote,Germany,Large,105324
2021,Data Scientist,ML/AI,Executive,Contract,Remote,Japan,Medium,90706
2022,Data Analyst,Analysis,Senior,Freelance,In-person,Germany,Medium,171043
2022,Statistician,Engineering,Entry-Level,Contract,Remote,United States,Small,73408
2022,Data Engineer,Data Science,Senior,Freelance,Hybrid,United States,Small,167559
2022,Data Scientist,Data Science,Executive,Freelance,In-person,United Kingdom,Medium,50997
2020,Machine Learning Engineer,ML/AI,Entry-Level,Freelance,In-person,Germany,Large,76456
2022,Statistician,Engineering,Entry-Level,Contract,In-person,Japan,Medium,160865
2021,Data Engineer,Analysis,Entry-Level,Full-Time,Hybrid,China,Medium,107988
2020,Data Analyst,Engineering,Executive,Part-Time,In-person,United Kingdom,Medium,110908
2021,Data Engineer,Analysis,Executive,Part-Time,In-person,India,Large,107952
2021,Statistician,ML/AI,Senior,Full-Time,Remote,Japan,Medium,114784
2021,Statistician,ML/AI,Executive,Part-Time,Remote,India,Large,189266
2021,Data Engineer,Data Science,Executive,Freelance,In-person,United Kingdom,Large,194857
2020,Data Analyst,ML/AI,Executive,Part-Time,Hybrid,United States,Large,88676
2020,Data Engineer,ML/AI,Senior,Contract,Hybrid,Japan,Medium,38373
2021,Statistician,Analysis,Mid-Level,Full-Time,Hybrid,China,Small,191355
2021,Statistician,Data Science,Entry-Level,Full-Time,Hybrid,Japan,Large,124951
2020,Machine Learning Engineer,Engineering,Entry-Level,Full-Time,Remote,United Kingdom,Medium,56414
2020,Machine Learning Engineer,Data Science,Mid-Level,Full-Time,Hybrid,Japan,Medium,175450
2020,Data Scientist,Data Science,Senior,Contract,Hybrid,Japan,Small,147139
2022,Statistician,Engineering,Senior,Freelance,In-person,United Kingdom,Large,113872
2022,Machine Learning Engineer,Data Science,Senior,Freelance,Hybrid,Mexico,Small,165772
2022,Data Engineer,Engineering,Entry-Level,Freelance,Hybrid,Germany,Medium,174973
2021,Data Analyst,Data Science,Mid-Level,Part-Time,Hybrid,United Kingdom,Small,120374
2022,Data Engineer,Data Science,Mid-Level,Freelance,Hybrid,Japan,Small,183669
2021,Data Analyst,Analysis,Entry-Level,Part-Time,Remote,China,Large,194500
2021,Machine Learning Engineer,ML/AI,Entry-Level,Contract,In-person,China,Small,196759
2022,Data Scientist,ML/AI,Mid-Level,Part-Time,Remote,United Kingdom,Large,59493
2021,Data Engineer,ML/AI,Executive,Freelance,In-person,Japan,Medium,155074
2022,Data Engineer,Analysis,Mid-Level,Full-Time,In-person,India,Medium,81224
2022,Data Engineer,Engineering,Executive,Contract,In-person,India,Small,61852
2020,Data Analyst,Engineering,Entry-Level,Freelance,In-person,United States,Small,40932
2022,Machine Learning Engineer,ML/AI,Executive,Freelance,Remote,Mexico,Medium,118545
2020,Data Engineer,ML/AI,Senior,Freelance,In-person,United Kingdom,Medium,63583
2022,Data Engineer,Analysis,Entry-Level,Contract,Hybrid,United Kingdom,Small,59865
2022,Data Scientist,Engineering,Entry-Level,Full-Time,Hybrid,India,Small,173361
2020,Data Scientist,Data Science,Entry-Level,Full-Time,In-person,India,Large,100270
2020,Machine Learning Engineer,Data Science,Entry-Level,Full-Time,Hybrid,India,Small,115549
2022,Machine Learning Engineer,Data Science,Entry-Level,Freelance,Hybrid,China,Small,196593
2021,Statistician,Data Science,Executive,Part-Time,In-person,China,Large,167577
2020,Data Scientist,Analysis,Mid-Level,Freelance,In-person,United States,Large,160768
2021,Statistician,ML/AI,Senior,Full-Time,In-person,United States,Large,74327
2021,Data Analyst,Analysis,Mid-Level,Contract,Remote,Germany,Small,143209
2021,Statistician,Engineering,Senior,Part-Time,In-person,China,Medium,144889
2020,Data Engineer,ML/AI,Executive,Part-Time,In-person,United Kingdom,Medium,48409
2021,Statistician,Data Science,Entry-Level,Freelance,Remote,United States,Small,180589
2020,Machine Learning Engineer,Analysis,Entry-Level,Contract,Hybrid,Japan,Large,74533
2021,Data Analyst,Analysis,Mid-Level,Part-Time,Remote,United Kingdom,Medium,191547
2022,Data Engineer,Data Science,Mid-Level,Full-Time,Hybrid,Germany,Small,45327
2022,Statistician,Analysis,Mid-Level,Freelance,Remote,India,Large,85344
2020,Data Analyst,Data Science,Entry-Level,Freelance,In-person,Germany,Large,33671
2022,Data Analyst,Engineering,Entry-Level,Full-Time,Remote,United Kingdom,Large,121908
2022,Data Engineer,ML/AI,Executive,Full-Time,In-person,India,Large,80756
2021,Statistician,Engineering,Senior,Full-Time,Hybrid,Germany,Large,189152
2020,Data Analyst,Engineering,Mid-Level,Part-Time,In-person,Germany,Large,54544
2021,Data Analyst,Data Science,Entry-Level,Contract,Remote,United Kingdom,Large,106347
2021,Data Scientist,Analysis,Senior,Part-Time,Remote,United States,Large,48733
2021,Data Analyst,Engineering,Mid-Level,Contract,Hybrid,Japan,Large,78093
2021,Data Scientist,Data Science,Entry-Level,Freelance,In-person,Germany,Small,135424
2021,Statistician,Engineering,Senior,Contract,Hybrid,Japan,Small,125595
2021,Statistician,Analysis,Senior,Full-Time,In-person,China,Medium,67487
2021,Statistician,Analysis,Senior,Part-Time,In-person,China,Small,150931
2020,Machine Learning Engineer,ML/AI,Senior,Full-Time,Hybrid,United Kingdom,Medium,70849
2022,Statistician,Engineering,Executive,Freelance,Hybrid,Mexico,Small,175622
2021,Data Analyst,ML/AI,Mid-Level,Part-Time,In-person,United Kingdom,Medium,106400
2021,Data Engineer,Analysis,Mid-Level,Part-Time,Hybrid,Mexico,Medium,159120
2021,Data Scientist,Data Science,Senior,Full-Time,In-person,Mexico,Medium,120930
2021,Machine Learning Engineer,Engineering,Entry-Level,Part-Time,Hybrid,Mexico,Small,79699
2021,Statistician,ML/AI,Senior,Full-Time,Hybrid,United States,Medium,120470
2021,Statistician,Analysis,Entry-Level,Contract,Hybrid,Mexico,Large,174779
2022,Data Engineer,ML/AI,Executive,Freelance,Remote,India,Medium,162996
2022,Data Engineer,Analysis,Mid-Level,Full-Time,Hybrid,Japan,Small,125023
2021,Machine Learning Engineer,ML/AI,Mid-Level,Freelance,Remote,Germany,Medium,59018
2022,Data Scientist,Data Science,Entry-Level,Part-Time,In-person,India,Small,51031
2020,Statistician,Engineering,Executive,Freelance,In-person,China,Medium,134985
2021,Machine Learning Engineer,Engineering,Executive,Freelance,Hybrid,China,Small,98237
2020,Data Analyst,Analysis,Mid-Level,Freelance,Remote,Japan,Medium,138426
2020,Data Analyst,Analysis,Mid-Level,Part-Time,In-person,Japan,Small,46719
2021,Machine Learning Engineer,ML/AI,Senior,Contract,Remote,Mexico,Large,39718
2022,Statistician,Data Science,Entry-Level,Contract,Remote,India,Small,30056
2020,Machine Learning Engineer,Analysis,Mid-Level,Contract,In-person,India,Medium,176424
2021,Statistician,ML/AI,Executive,Full-Time,Remote,United States,Large,151743
2020,Data Engineer,Analysis,Executive,Full-Time,Remote,Germany,Large,77820
2020,Machine Learning Engineer,ML/AI,Mid-Level,Part-Time,In-person,Germany,Small,98683
2020,Statistician,Analysis,Executive,Contract,Hybrid,Germany,Large,99073
2020,Machine Learning Engineer,Engineering,Entry-Level,Freelance,Hybrid,Mexico,Small,30721
2022,Machine Learning Engineer,ML/AI,Executive,Contract,Remote,China,Medium,70194
2020,Statistician,Analysis,Executive,Full-Time,Hybrid,China,Large,109882
2020,Statistician,Data Science,Mid-Level,Part-Time,In-person,India,Small,171983
2020,Data Scientist,Data Science,Entry-Level,Contract,In-person,United States,Small,181944
2022,Machine Learning Engineer,Engineering,Entry-Level,Full-Time,In-person,United Kingdom,Medium,103072
2020,Data Analyst,Data Science,Senior,Full-Time,Remote,United States,Large,153919
2020,Machine Learning Engineer,Analysis,Entry-Level,Freelance,In-person,China,Medium,115968
2022,Machine Learning Engineer,ML/AI,Executive,Contract,Remote,Mexico,Small,137251
2022,Statistician,Analysis,Mid-Level,Freelance,Remote,India,Small,74537
2022,Machine Learning Engineer,Engineering,Executive,Contract,In-person,United States,Large,139254
2020,Machine Learning Engineer,Engineering,Entry-Level,Part-Time,In-person,India,Small,177932
2022,Data Analyst,Engineering,Senior,Contract,Remote,Japan,Large,191815
2022,Statistician,Data Science,Entry-Level,Freelance,In-person,Japan,Small,102941
2020,Machine Learning Engineer,ML/AI,Entry-Level,Freelance,Hybrid,United Kingdom,Small,193277
2022,Data Engineer,ML/AI,Senior,Full-Time,Remote,China,Medium,47645
2020,Data Scientist,Analysis,Senior,Contract,Remote,Mexico,Large,142661
2021,Data Analyst,Analysis,Executive,Contract,In-person,Japan,Small,101473
2022,Machine Learning Engineer,Analysis,Mid-Level,Part-Time,In-person,United Kingdom,Small,80734
2021,Data Engineer,Engineering,Senior,Full-Time,Remote,Germany,Large,191503
2020,Machine Learning Engineer,ML/AI,Executive,Freelance,Remote,India,Large,157705
2022,Machine Learning Engineer,Analysis,Mid-Level,Contract,Remote,Mexico,Large,90914
2020,Statistician,Data Science,Executive,Full-Time,In-person,Germany,Large,47882
